Issue Type,Summary,Description,Acceptance Criteria,Story Points,Labels,Epic Link,Parent
Epic,[EPIC] SDD Products API — Gestión de Catálogo de Productos,Implementación completa de la API REST de gestión de catálogo de productos para e-commerce. Incluye CRUD de productos con validación estricta de reglas de negocio y soft-delete.,,13,backend spring-boot sdd,,
Story,[STORY] REQ-001: Crear Producto,Como Operator quiero crear un producto con todos sus atributos para que esté disponible en el catálogo.,"POST /api/v1/products con body válido retorna 201. SKU duplicado retorna 409. Validación fallida retorna 400. id generado con UUID.randomUUID(). deletedAt=null al crear. stock=0 por defecto.",5,backend spring-boot sdd domain,[EPIC] SDD Products API — Gestión de Catálogo de Productos,
Sub-task,[TASK] Crear entidad Product con @SQLRestriction y lifecycle hooks,Entidad JPA con @SQLRestriction("deleted_at IS NULL") @PrePersist y @PreUpdate,,1,backend domain,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-001: Crear Producto
Sub-task,[TASK] Crear CreateProductRequest con Bean Validation,DTO con @NotBlank @Pattern @Size @NotNull @Positive @Min según campo,,1,backend domain,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-001: Crear Producto
Sub-task,[TASK] Implementar ProductServiceImpl.create(),Verificar SKU duplicado antes de save. Asignar UUID.randomUUID() al id.,,1,backend service,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-001: Crear Producto
Sub-task,[TASK] Migración Flyway V1__create_products_table.sql,Tabla products con UUID PK NUMERIC(19-4) TIMESTAMPTZ índices y constraints,,1,backend database,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-001: Crear Producto
Sub-task,[TASK] Tests unitarios REQ-001,should_createProduct_when_skuIsUnique y should_throwSkuAlreadyExistsException_when_skuIsDuplicated,,1,backend testing,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-001: Crear Producto
Story,[STORY] REQ-002: Consultar Producto por ID,Como Operator o External_System quiero consultar un producto por su UUID para ver sus datos actuales.,"GET /api/v1/products/{id} activo retorna 200. UUID inexistente retorna 404. Producto soft-deleted retorna 404.",2,backend spring-boot sdd,[EPIC] SDD Products API — Gestión de Catálogo de Productos,
Sub-task,[TASK] Implementar ProductServiceImpl.findById(),findById con orElseThrow(ProductNotFoundException),,1,backend service,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-002: Consultar Producto por ID
Sub-task,[TASK] Endpoint GET /{id} en ProductController,@GetMapping("/{id}") retorna 200 con ProductResponse,,1,backend controller,[EPIC] SDD Products API — Gestión de Catálogo de Productos,[STORY] REQ-002: Consultar Producto por ID
